papel,cotacao,pl,pvp,psr,dy,pa,pcg,pebit,pacl,evebit,evebitda,mrgebit,mrgliq,roic,roe,liqc,liq2m,patrliq,divbpatr,c5y
BPNM3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0916,0.0,0.0,7706050000.0,0.0,0.171
BRAP3,23.73,2.5,1.25,0.0,0.1253,1.157,141.71,-456.26,143.84,-436.27,-436.27,0.0,0.0,-0.0027,0.4986,1.11,1661960.0,7477000000.0,0.0,0.0
BRAP4,26.07,2.75,1.37,0.0,0.1255,1.271,155.68,-501.25,158.02,-481.26,-481.26,0.0,0.0,-0.0027,0.4986,1.11,69376600.0,7477000000.0,0.0,0.0
BRBI11,10.03,7.16,1.31,4.195,0.0479,0.134,1.25,14.85,1.47,2.53,2.38,0.2825,0.586,0.6751999999999999,0.18289999999999998,1.12,766854.0,804217000.0,8.57,-0.5471
BRFS3,6.14,-2.1,0.59,0.124,0.0,0.115,1.58,15.8,-0.34,51.38,6.33,0.0078000000000000005,-0.0584,0.012199999999999999,-0.281,1.19,160371000.0,11270000000.0,2.09,0.1646
BRGE11,9.22,8.09,0.53,178.501,0.0415,0.201,0.58,-0.91,1.42,1.14,1.16,-195.54,33.3559,-0.39990000000000003,0.06509999999999999,2.33,263.22,1289790000.0,0.0,-0.4365
BRGE12,9.8,8.59,0.56,189.729,0.0,0.213,0.62,-0.97,1.51,1.08,1.1,-195.54,33.3559,-0.39990000000000003,0.06509999999999999,2.33,7200.34,1289790000.0,0.0,-0.4365
BRGE3,9.79,8.59,0.56,189.536,0.0,0.213,0.62,-0.97,1.51,1.08,1.1,-195.54,33.3559,-0.39990000000000003,0.06509999999999999,2.33,1131.95,1289790000.0,0.0,-0.4365
BRGE5,11.53,10.11,0.66,223.222,0.0,0.251,0.73,-1.14,1.77,0.91,0.92,-195.54,33.3559,-0.39990000000000003,0.06509999999999999,2.33,0.0,1289790000.0,0.0,-0.4365
BRGE6,10.51,9.22,0.6,203.475,0.0728,0.229,0.66,-1.04,1.62,1.01,1.03,-195.54,33.3559,-0.39990000000000003,0.06509999999999999,2.33,51.24,1289790000.0,0.0,-0.4365
BRGE7,5.4,4.74,0.31,104.545,0.0827,0.118,0.34,-0.53,0.83,1.51,1.54,-195.54,33.3559,-0.39990000000000003,0.06509999999999999,2.33,0.0,1289790000.0,0.0,-0.4365
BRGE8,9.7,8.51,0.55,187.793,0.0329,0.211,0.61,-0.96,1.49,1.09,1.11,-195.54,33.3559,-0.39990000000000003,0.06509999999999999,2.33,338.56,1289790000.0,0.0,-0.4365
BRIT3,2.02,14.94,0.66,0.921,0.0006,0.295,2.71,4.46,-0.99,7.74,3.33,0.2065,0.0616,0.0842,0.044000000000000004,1.74,1000320.0,1378620000.0,0.92,0.4451
BRIV3,9.11,6.8,0.48,0.0,0.0233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0707,0.0,3643.59,1678620000.0,0.0,0.4775
BRIV4,9.29,6.94,0.49,0.0,0.0668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0707,0.0,10895.4,1678620000.0,0.0,0.4775
BRKM3,19.91,-47.28,2.17,0.164,0.0852,0.18,1.55,2.6,-0.33,6.0,3.38,0.0633,-0.0085,0.1001,-0.0458,1.42,301296.0,7321800000.0,4.86,0.18780000000000002
BRKM5,19.53,-46.38,2.13,0.161,0.08689999999999999,0.177,1.52,2.55,-0.33,5.96,3.36,0.0633,-0.0085,0.1001,-0.0458,1.42,82497200.0,7321800000.0,4.86,0.18780000000000002
BRKM6,16.5,-39.19,1.8,0.136,0.0,0.149,1.28,2.15,-0.28,5.56,3.13,0.0633,-0.0085,0.1001,-0.0458,1.42,2119.63,7321800000.0,4.86,0.18780000000000002
BRML3,8.26,11.94,0.61,4.732,0.006500000000000001,0.377,18.14,7.76,-1.25,9.88,8.97,0.61,0.4347,0.051399999999999994,0.051500000000000004,1.37,0.0,11125900000.0,0.25,0.0277
BRPR3,64.0,-0.49,0.17,2.498,1.5708000000000002,0.157,0.35,4.63,0.37,2.83,2.79,0.5397,-5.1197,0.0363,-0.34490000000000004,12.93,25760700.0,4416020000.0,0.0,-0.08109999999999999
BRSR3,11.02,6.3,0.48,0.0,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0759,0.0,61476.8,9413890000.0,0.0,0.0177
BRSR4,181.1,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0759,0.0,0.0,9413890000.0,0.0,0.0177
BRSR5,16.5,9.44,0.72,0.0,0.056100000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0759,0.0,549.59,9413890000.0,0.0,0.0177
BRSR6,9.88,5.65,0.43,0.0,0.0925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0759,0.0,15834600.0,9413890000.0,0.0,0.0177
BRTP3,35.71,-67.26,2.45,1.168,0.0,0.684,8.98,6.03,-2.4,7.55,7.55,0.1937,-0.0296,0.1341,-0.0364,1.29,0.0,5302340000.0,0.91,0.0366
